"Forca Peda";"Velocidade";"Decel";"Curso Peda";"Press Tras";"Press Dian";"Ambient";"LD Sec";"LD Prim";"LE Sec";"";"LE Prim";"LD Pastilh";"LE Pastilh";"LD Disco";"LE Disco"
"daN";"km/h";"a%";"mm";"bar";"bar";"U_C";"C";"C";"C";"C";"C";"C";"C";"C";"C"
"-1,954";"-0,293";"-0,098";"-10,992";"-0,195";"-0,098";"33,610";"32,731";"32,242";"30,288";"";"30,288";"30,288";"24,426";"32,242";"31,754"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,610";"33,219";"32,731";"30,777";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,098";"-10,992";"-0,195";"-0,098";"33,610";"32,731";"32,731";"30,777";"";"30,777";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,293";"-0,195";"-10,992";"-0,195";"-0,098";"33,610";"31,754";"32,242";"30,777";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,992";"-0,195";"-0,098";"33,610";"33,219";"32,731";"31,265";"";"30,777";"30,777";"24,426";"32,731";"31,754"
"-1,954";"-0,293";"0,000";"-10,992";"-0,195";"-0,098";"33,610";"32,731";"32,731";"30,777";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,610";"32,731";"32,731";"30,777";"";"30,777";"30,777";"23,449";"32,731";"31,754"
"-1,954";"-0,293";"0,098";"-10,992";"-0,195";"-0,098";"33,610";"32,731";"32,242";"32,242";"";"30,288";"30,288";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"-0,098";"-10,992";"-0,195";"-0,098";"33,610";"33,219";"32,731";"30,777";"";"30,777";"30,777";"24,915";"32,731";"32,242"
"-1,954";"-0,147";"0,000";"-10,747";"-0,195";"-0,098";"33,659";"32,731";"32,242";"31,265";"";"30,288";"30,288";"24,426";"32,731";"32,242"
"-1,954";"-0,147";"0,098";"-10,992";"-0,195";"-0,098";"33,610";"32,731";"32,242";"30,777";"";"30,288";"30,777";"24,915";"32,242";"31,754"
